humanID,opponent,condition,game,human_attack_freq_A,AI_attack_freq_A,human_peace_freq_A,AI_peace_freq_A,human_attack_freq_B,AI_attack_freq_B,human_peace_freq_B,AI_peace_freq_B,human_attack_freq_C,AI_attack_freq_C,human_peace_freq_C,AI_peace_freq_C,mutual_attack_A,human_victory_A,AI_victory_A,mutual_peace_A,mutual_attack_B,human_victory_B,AI_victory_B,mutual_peace_B,mutual_attack_C,human_victory_C,AI_victory_C,mutual_peace_C,human_attack_cum,AI_attack_cum,human_peace_cum,AI_peace_cum,human_attack_average,AI_attack_average,human_peace_average,AI_peace_average,mutual_attack_cum,human_victory_cum,AI_victory_cum,mutual_peace_cum,mutual_attack_average,human_victory_average,AI_victory_average,mutual_peace_average
qlva,ppo,human,hawkdove,8,8,2,2,7,7,3,3,5,5,5,5,4,4,1,1,3,4,2,1,3,2,3,2,20,20,10,10,6.666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,10,10,6,4,3.3333333333333335,3.3333333333333335,2.0,1.3333333333333333
bvgecdc,ppo,human,hawkdove,10,10,0,0,5,5,5,5,6,6,4,4,5,5,0,0,3,2,2,3,4,2,2,2,21,21,9,9,7.0,7.0,3.0,3.0,12,9,4,5,4.0,3.0,1.3333333333333333,1.6666666666666667
bdebze,dqn,ai,hawkdove,5,5,5,5,5,5,5,5,3,3,7,7,0,5,0,5,0,5,0,5,0,3,0,7,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,0,13,0,17,0.0,4.333333333333333,0.0,5.666666666666667
khilkbnf,vpg,ai,hawkdove,6,6,4,4,6,6,4,4,4,4,6,6,3,3,1,3,2,4,2,2,3,1,2,4,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,8,8,5,9,2.6666666666666665,2.6666666666666665,1.6666666666666667,3.0
pndzuadn,dqn,ai,hawkdove,3,3,7,7,0,0,10,10,0,0,10,10,0,3,0,7,0,0,0,10,0,0,0,10,3,3,27,27,1.0,1.0,9.0,9.0,0,3,0,27,0.0,1.0,0.0,9.0
dvxcczhd,ppo,human,hawkdove,4,4,6,6,0,0,10,10,0,0,10,10,3,1,3,3,0,0,5,5,0,0,8,2,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,3,1,16,10,1.0,0.3333333333333333,5.333333333333333,3.3333333333333335
qhauppg,dqn,ai,hawkdove,6,6,4,4,4,4,6,6,4,4,6,6,0,6,0,4,0,4,0,6,0,4,0,6,14,14,16,16,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,0,14,0,16,0.0,4.666666666666667,0.0,5.333333333333333
suseoolg,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,7,3,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,17,13,0.0,0.0,5.666666666666667,4.333333333333333
mmnakws,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,4,6,0,0,2,8,0,0,30,30,0.0,0.0,10.0,10.0,0,0,12,18,0.0,0.0,4.0,6.0
vshgwvki,vpg,ai,hawkdove,6,6,4,4,5,5,5,5,5,5,5,5,3,3,1,3,2,3,2,3,2,3,3,2,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,7,9,6,8,2.3333333333333335,3.0,2.0,2.6666666666666665
grrvjo,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,3,7,0,0,8,2,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
nnxyimq,vpg,ai,hawkdove,8,8,2,2,7,7,3,3,9,9,1,1,3,5,1,1,2,5,1,2,4,5,0,1,24,24,6,6,8.0,8.0,2.0,2.0,9,15,2,4,3.0,5.0,0.6666666666666666,1.3333333333333333
ajagqhrj,dqn,ai,hawkdove,3,3,7,7,7,7,3,3,0,0,10,10,0,3,0,7,0,7,0,3,0,0,0,10,10,10,20,20,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0,10,0,20,0.0,3.3333333333333335,0.0,6.666666666666667
bjogjpdp,ppo,human,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,1,4,3,2,2,3,2,3,3,2,1,4,15,15,15,15,5.0,5.0,5.0,5.0,6,9,6,9,2.0,3.0,2.0,3.0
qaphrcvm,vpg,ai,hawkdove,2,2,8,8,10,10,0,0,10,10,0,0,2,0,5,3,6,4,0,0,6,4,0,0,22,22,8,8,7.333333333333333,7.333333333333333,2.6666666666666665,2.6666666666666665,14,8,5,3,4.666666666666667,2.6666666666666665,1.6666666666666667,1.0
yjnbgejh,dqn,ai,hawkdove,7,7,3,3,0,0,10,10,3,3,7,7,0,7,0,3,0,0,0,10,0,3,0,7,10,10,20,20,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0,10,0,20,0.0,3.3333333333333335,0.0,6.666666666666667
ggqdqih,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,2,8,0,0,3,7,0,0,8,2,0,0,30,30,0.0,0.0,10.0,10.0,0,0,13,17,0.0,0.0,4.333333333333333,5.666666666666667
ahccujxn,vpg,ai,hawkdove,7,7,3,3,3,3,7,7,0,0,10,10,4,3,0,3,1,2,4,3,0,0,5,5,10,10,20,20,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,5,5,9,11,1.6666666666666667,1.6666666666666667,3.0,3.6666666666666665
bmmcnbf,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,7,3,0,0,3,7,0,0,7,3,0,0,30,30,0.0,0.0,10.0,10.0,0,0,17,13,0.0,0.0,5.666666666666667,4.333333333333333
soelgqj,ppo,human,hawkdove,4,4,6,6,3,3,7,7,2,2,8,8,2,2,5,1,1,2,2,5,0,2,5,3,9,9,21,21,3.0,3.0,7.0,7.0,3,6,12,9,1.0,2.0,4.0,3.0
gadxzqh,ppo,human,hawkdove,3,3,7,7,0,0,10,10,3,3,7,7,1,2,1,6,0,0,6,4,3,0,3,4,6,6,24,24,2.0,2.0,8.0,8.0,4,2,10,14,1.3333333333333333,0.6666666666666666,3.3333333333333335,4.666666666666667
ulaiszrq,dqn,ai,hawkdove,4,4,6,6,10,10,0,0,0,0,10,10,0,4,0,6,0,10,0,0,0,0,0,10,14,14,16,16,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,0,14,0,16,0.0,4.666666666666667,0.0,5.333333333333333
jlpzltkd,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,6,4,0,0,6,4,0,0,30,30,0.0,0.0,10.0,10.0,0,0,18,12,0.0,0.0,6.0,4.0
iknmj,vpg,ai,hawkdove,5,5,5,5,0,0,10,10,0,0,10,10,3,2,3,2,0,0,5,5,0,0,4,6,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,3,2,12,13,1.0,0.6666666666666666,4.0,4.333333333333333
dboizxwi,ppo,human,hawkdove,7,7,3,3,6,6,4,4,7,7,3,3,5,2,1,2,5,1,0,4,6,1,2,1,20,20,10,10,6.666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,16,4,3,7,5.333333333333333,1.3333333333333333,1.0,2.3333333333333335
aaofane,ppo,human,hawkdove,6,6,4,4,1,1,9,9,0,0,10,10,2,4,1,3,1,0,6,3,0,0,3,7,7,7,23,23,2.3333333333333335,2.3333333333333335,7.666666666666667,7.666666666666667,3,4,10,13,1.0,1.3333333333333333,3.3333333333333335,4.333333333333333
gyaermwx,vpg,ai,hawkdove,5,5,5,5,10,10,0,0,0,0,10,10,1,4,3,2,4,6,0,0,0,0,2,8,15,15,15,15,5.0,5.0,5.0,5.0,5,10,5,10,1.6666666666666667,3.3333333333333335,1.6666666666666667,3.3333333333333335
pcofbah,dqn,ai,hawkdove,2,2,8,8,1,1,9,9,2,2,8,8,0,2,0,8,0,1,0,9,0,2,0,8,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0,5,0,25,0.0,1.6666666666666667,0.0,8.333333333333334
hxlowwdy,vpg,ai,hawkdove,2,2,8,8,1,1,9,9,0,0,10,10,1,1,3,5,1,0,5,4,0,0,4,6,3,3,27,27,1.0,1.0,9.0,9.0,2,1,12,15,0.6666666666666666,0.3333333333333333,4.0,5.0
fphrcgo,ppo,human,hawkdove,5,5,5,5,5,5,5,5,6,6,4,4,1,4,3,2,3,2,3,2,3,3,2,2,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,7,9,8,6,2.3333333333333335,3.0,2.6666666666666665,2.0
yvjxdm,ppo,human,hawkdove,6,6,4,4,4,4,6,6,5,5,5,5,5,1,3,1,3,1,3,3,3,2,3,2,15,15,15,15,5.0,5.0,5.0,5.0,11,4,9,6,3.6666666666666665,1.3333333333333333,3.0,2.0
wfzyfwex,dqn,ai,hawkdove,8,8,2,2,0,0,10,10,1,1,9,9,0,8,0,2,0,0,0,10,0,1,0,9,9,9,21,21,3.0,3.0,7.0,7.0,0,9,0,21,0.0,3.0,0.0,7.0
zdltuaep,ppo,human,hawkdove,3,3,7,7,1,1,9,9,0,0,10,10,1,2,4,3,1,0,1,8,0,0,6,4,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,2,2,11,15,0.6666666666666666,0.6666666666666666,3.6666666666666665,5.0
lloutof,ppo,ai,hawkdove,2,2,8,8,0,0,10,10,0,0,10,10,1,1,3,5,0,0,3,7,0,0,5,5,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,1,1,11,17,0.3333333333333333,0.3333333333333333,3.6666666666666665,5.666666666666667
xpmvc,dqn,ai,hawkdove,6,6,4,4,2,2,8,8,0,0,10,10,0,6,0,4,0,2,0,8,0,0,0,10,8,8,22,22,2.6666666666666665,2.6666666666666665,7.333333333333333,7.333333333333333,0,8,0,22,0.0,2.6666666666666665,0.0,7.333333333333333
psmsdy,ppo,ai,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,1,0,5,4,0,0,4,6,0,0,7,3,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,1,0,16,13,0.3333333333333333,0.0,5.333333333333333,4.333333333333333
jviwpch,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,5,5,0,0,6,4,0,0,30,30,0.0,0.0,10.0,10.0,0,0,16,14,0.0,0.0,5.333333333333333,4.666666666666667
zrnvkqa,vpg,ai,hawkdove,1,1,9,9,1,1,9,9,0,0,10,10,1,0,6,3,1,0,5,4,0,0,5,5,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,2,0,16,12,0.6666666666666666,0.0,5.333333333333333,4.0
efeymtoj,dqn,ai,hawkdove,2,2,8,8,1,1,9,9,0,0,10,10,0,2,0,8,0,1,0,9,0,0,0,10,3,3,27,27,1.0,1.0,9.0,9.0,0,3,0,27,0.0,1.0,0.0,9.0
kikwzgbl,ppo,ai,hawkdove,4,4,6,6,2,2,8,8,5,5,5,5,2,2,1,5,1,1,3,5,4,1,3,2,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,7,4,7,12,2.3333333333333335,1.3333333333333333,2.3333333333333335,4.0
mhbzndmf,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,5,5,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
kthfnxef,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,5,5,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,14,16,0.0,0.0,4.666666666666667,5.333333333333333
pwjqxks,dqn,ai,hawkdove,9,9,1,1,10,10,0,0,10,10,0,0,0,9,0,1,0,10,0,0,0,10,0,0,29,29,1,1,9.666666666666666,9.666666666666666,0.3333333333333333,0.3333333333333333,0,29,0,1,0.0,9.666666666666666,0.0,0.3333333333333333
coefwpep,dqn,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,30,30,0.0,0.0,10.0,10.0,0,0,0,30,0.0,0.0,0.0,10.0
fphxqgnj,vpg,ai,hawkdove,5,5,5,5,4,4,6,6,4,4,6,6,1,4,2,3,1,3,1,5,2,2,4,2,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,4,9,7,10,1.3333333333333333,3.0,2.3333333333333335,3.3333333333333335
ltwzffqp,ppo,human,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,1,0,3,6,0,0,4,6,0,0,3,7,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,1,0,10,19,0.3333333333333333,0.0,3.3333333333333335,6.333333333333333
jnbpwthi,ppo,ai,hawkdove,6,6,4,4,6,6,4,4,5,5,5,5,2,4,3,1,2,4,3,1,3,2,3,2,17,17,13,13,5.666666666666667,5.666666666666667,4.333333333333333,4.333333333333333,7,10,9,4,2.3333333333333335,3.3333333333333335,3.0,1.3333333333333333
pjpthop,dqn,ai,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,15,15,15,15,5.0,5.0,5.0,5.0,0,15,0,15,0.0,5.0,0.0,5.0
gjyjozhh,dqn,ai,hawkdove,1,1,9,9,2,2,8,8,0,0,10,10,0,1,0,9,0,2,0,8,0,0,0,10,3,3,27,27,1.0,1.0,9.0,9.0,0,3,0,27,0.0,1.0,0.0,9.0
lfopyfqq,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,8,2,0,0,4,6,0,0,4,6,0,0,30,30,0,0,10.0,10.0,0.0,0.0,16,14,0,0,5.333333333333333,4.666666666666667,0.0,0.0
yqzyzokp,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,7,3,0,0,5,5,0,0,6,4,0,0,30,30,0.0,0.0,10.0,10.0,0,0,18,12,0.0,0.0,6.0,4.0
dlwsphof,vpg,ai,hawkdove,4,4,6,6,5,5,5,5,5,5,5,5,0,4,1,5,2,3,2,3,2,3,3,2,14,14,16,16,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,4,10,6,10,1.3333333333333333,3.3333333333333335,2.0,3.3333333333333335
rlgfccpl,ppo,ai,hawkdove,0,0,10,10,1,1,9,9,0,0,10,10,0,0,7,3,0,1,7,2,0,0,5,5,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,0,1,19,10,0.0,0.3333333333333333,6.333333333333333,3.3333333333333335
lbqnow,dqn,ai,hawkdove,0,0,10,10,2,2,8,8,0,0,10,10,0,0,0,10,0,2,0,8,0,0,0,10,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,0,2,0,28,0.0,0.6666666666666666,0.0,9.333333333333334
tprmdqyy,ppo,ai,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,0,1,5,4,0,0,3,7,0,0,5,5,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,0,1,13,16,0.0,0.3333333333333333,4.333333333333333,5.333333333333333
smnyxsun,ppo,human,hawkdove,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,7,3,0,0,4,6,0,0,30,30,0,0,10.0,10.0,0.0,0.0,17,13,0,0,5.666666666666667,4.333333333333333,0.0,0.0
ajknphzs,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,2,8,0,0,8,2,0,0,6,4,0,0,30,30,0.0,0.0,10.0,10.0,0,0,16,14,0.0,0.0,5.333333333333333,4.666666666666667
fnqwdd,vpg,ai,hawkdove,7,7,3,3,9,9,1,1,1,1,9,9,1,6,3,0,7,2,0,1,1,0,5,4,17,17,13,13,5.666666666666667,5.666666666666667,4.333333333333333,4.333333333333333,9,8,8,5,3.0,2.6666666666666665,2.6666666666666665,1.6666666666666667
rcgifgis,vpg,ai,hawkdove,3,3,7,7,0,0,10,10,0,0,10,10,2,1,5,2,0,0,4,6,0,0,5,5,3,3,27,27,1.0,1.0,9.0,9.0,2,1,14,13,0.6666666666666666,0.3333333333333333,4.666666666666667,4.333333333333333
mtouwwd,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,5,5,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
wkwuhjo,dqn,ai,hawkdove,2,2,8,8,0,0,10,10,0,0,10,10,0,2,0,8,0,0,0,10,0,0,0,10,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,0,2,0,28,0.0,0.6666666666666666,0.0,9.333333333333334
wglygoxy,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,6,4,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,16,14,0.0,0.0,5.333333333333333,4.666666666666667
vfcrnkmn,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,4,6,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,14,16,0.0,0.0,4.666666666666667,5.333333333333333
xutwfkwv,ppo,ai,hawkdove,2,2,8,8,0,0,10,10,1,1,9,9,1,1,5,3,0,0,7,3,1,0,5,4,3,3,27,27,1.0,1.0,9.0,9.0,2,1,17,10,0.6666666666666666,0.3333333333333333,5.666666666666667,3.3333333333333335
dowrahvl,dqn,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,30,30,0.0,0.0,10.0,10.0,0,0,0,30,0.0,0.0,0.0,10.0
oapdfxxd,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,6,4,0,0,8,2,0,0,30,30,0.0,0.0,10.0,10.0,0,0,20,10,0.0,0.0,6.666666666666667,3.3333333333333335
rkwbhb,ppo,ai,hawkdove,1,1,9,9,1,1,9,9,0,0,10,10,1,0,5,4,0,1,5,4,0,0,7,3,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,1,1,17,11,0.3333333333333333,0.3333333333333333,5.666666666666667,3.6666666666666665
imsrmmdv,ppo,human,hawkdove,7,7,3,3,6,6,4,4,5,5,5,5,3,4,2,1,3,3,3,1,1,4,3,2,18,18,12,12,6.0,6.0,4.0,4.0,7,11,8,4,2.3333333333333335,3.6666666666666665,2.6666666666666665,1.3333333333333333
lawvzzfz,dqn,ai,hawkdove,0,0,10,10,2,2,8,8,1,1,9,9,0,0,0,10,0,2,0,8,0,1,0,9,3,3,27,27,1.0,1.0,9.0,9.0,0,3,0,27,0.0,1.0,0.0,9.0
fdqu,dqn,ai,hawkdove,5,5,5,5,0,0,10,10,0,0,10,10,0,5,0,5,0,0,0,10,0,0,0,10,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0,5,0,25,0.0,1.6666666666666667,0.0,8.333333333333334
psdrl,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,1,9,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,9,21,0.0,0.0,3.0,7.0
pjtflwar,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,4,6,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,12,18,0.0,0.0,4.0,6.0
twyyjlmw,vpg,ai,hawkdove,4,4,6,6,0,0,10,10,0,0,10,10,2,2,2,4,0,0,5,5,0,0,4,6,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,2,2,11,15,0.6666666666666666,0.6666666666666666,3.6666666666666665,5.0
iowlrer,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,6,4,0,0,3,7,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
sxpnloxg,ppo,ai,hawkdove,10,10,0,0,6,6,4,4,0,0,10,10,7,3,0,0,3,3,1,3,0,0,4,6,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,10,6,5,9,3.3333333333333335,2.0,1.6666666666666667,3.0
yfdpbqb,dqn,ai,hawkdove,6,6,4,4,4,4,6,6,3,3,7,7,0,6,0,4,0,4,0,6,0,3,0,7,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,0,13,0,17,0.0,4.333333333333333,0.0,5.666666666666667
lwtriccm,vpg,ai,hawkdove,1,1,9,9,1,1,9,9,0,0,10,10,1,0,6,3,1,0,5,4,0,0,6,4,2,2,28,28,0.6666666666666666,0.6666666666666666,9.333333333333334,9.333333333333334,2,0,17,11,0.6666666666666666,0.0,5.666666666666667,3.6666666666666665
ldlbol,dqn,ai,hawkdove,7,7,3,3,3,3,7,7,6,6,4,4,0,7,0,3,0,3,0,7,0,6,0,4,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,0,16,0,14,0.0,5.333333333333333,0.0,4.666666666666667
rdndquq,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,2,8,0,0,3,7,0,0,3,7,0,0,30,30,0.0,0.0,10.0,10.0,0,0,8,22,0.0,0.0,2.6666666666666665,7.333333333333333
oazcuwgo,ppo,ai,hawkdove,5,5,5,5,6,6,4,4,5,5,5,5,2,3,3,2,3,3,3,1,1,4,3,2,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,6,10,9,5,2.0,3.3333333333333335,3.0,1.6666666666666667
qvzcdanm,dqn,ai,hawkdove,4,4,6,6,3,3,7,7,0,0,10,10,0,4,0,6,0,3,0,7,0,0,0,10,7,7,23,23,2.3333333333333335,2.3333333333333335,7.666666666666667,7.666666666666667,0,7,0,23,0.0,2.3333333333333335,0.0,7.666666666666667
jljlmiar,ppo,ai,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,1,0,5,4,0,0,6,4,0,0,5,5,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,1,0,16,13,0.3333333333333333,0.0,5.333333333333333,4.333333333333333
udghioof,ppo,human,hawkdove,0,0,10,10,3,3,7,7,2,2,8,8,0,0,8,2,2,1,4,3,1,1,6,2,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,3,2,18,7,1.0,0.6666666666666666,6.0,2.3333333333333335
yvqqphnj,ppo,ai,hawkdove,4,4,6,6,5,5,5,5,3,3,7,7,2,2,4,2,3,2,3,2,3,0,5,2,12,12,18,18,4.0,4.0,6.0,6.0,8,4,12,6,2.6666666666666665,1.3333333333333333,4.0,2.0
blydgagv,vpg,ai,hawkdove,9,9,1,1,6,6,4,4,9,9,1,1,6,3,1,0,2,4,2,2,4,5,0,1,24,24,6,6,8.0,8.0,2.0,2.0,12,12,3,3,4.0,4.0,1.0,1.0
wsmthtev,dqn,ai,hawkdove,2,2,8,8,6,6,4,4,6,6,4,4,0,2,0,8,0,6,0,4,0,6,0,4,14,14,16,16,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,0,14,0,16,0.0,4.666666666666667,0.0,5.333333333333333
fhtolvb,ppo,ai,hawkdove,4,4,6,6,4,4,6,6,3,3,7,7,2,2,3,3,1,3,3,3,2,1,3,4,11,11,19,19,3.6666666666666665,3.6666666666666665,6.333333333333333,6.333333333333333,5,6,9,10,1.6666666666666667,2.0,3.0,3.3333333333333335
siaqkcre,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,6,4,0,0,3,7,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
kulnptnz,ppo,ai,hawkdove,0,0,10,10,6,6,4,4,7,7,3,3,0,0,4,6,3,3,2,2,5,2,2,1,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,8,5,8,9,2.6666666666666665,1.6666666666666667,2.6666666666666665,3.0
tuvdy,vpg,ai,hawkdove,3,3,7,7,3,3,7,7,6,6,4,4,1,2,3,4,1,2,2,5,3,3,3,1,12,12,18,18,4.0,4.0,6.0,6.0,5,7,8,10,1.6666666666666667,2.3333333333333335,2.6666666666666665,3.3333333333333335
gqgtvtsg,ppo,ai,hawkdove,1,1,9,9,0,0,10,10,0,0,10,10,0,1,6,3,0,0,4,6,0,0,5,5,1,1,29,29,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,0,1,15,14,0.0,0.3333333333333333,5.0,4.666666666666667
frxzddqt,dqn,ai,hawkdove,3,3,7,7,0,0,10,10,2,2,8,8,0,3,0,7,0,0,0,10,0,2,0,8,5,5,25,25,1.6666666666666667,1.6666666666666667,8.333333333333334,8.333333333333334,0,5,0,25,0.0,1.6666666666666667,0.0,8.333333333333334
ycsgcyqo,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,4,6,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,14,16,0.0,0.0,4.666666666666667,5.333333333333333
qfutbqyw,ppo,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,4,6,0,0,7,3,0,0,6,4,0,0,30,30,0.0,0.0,10.0,10.0,0,0,17,13,0.0,0.0,5.666666666666667,4.333333333333333
oskzx,ppo,human,hawkdove,1,1,9,9,1,1,9,9,2,2,8,8,0,1,4,5,1,0,5,4,0,2,4,4,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,1,3,13,13,0.3333333333333333,1.0,4.333333333333333,4.333333333333333
